Nome,Resultado main,Resultado completo,Resultado jogada,Resultado jogador,Resultado tabuleiro,Resultado jogo,Média
GleicianoJesus,0,0,0,0,1.67,0,1.67
GleicianoJesus/.vscode,0,0,0,0,0,0,0
